publishedAt,authorDisplayName,textDisplay,likeCount
2023-05-06T13:54:48Z,airlangga jaya wardana,Anies oke,0
2023-05-06T13:54:39Z,airlangga jaya wardana,Anies yess,0
2023-05-06T13:51:40Z,Jejen Jaenudin,"Pilpres dua putaran, pemenangnya prsbowo, pemilih anis di putaran pertama akan memilih prabowo",0
2023-05-06T13:47:39Z,adrian channel,Anies yes,0
2023-05-06T13:19:45Z,Rustam Vivi,Survey abal2 ini,0
2023-05-06T13:06:24Z,@Ilmy71,"Lembaga survey, mana yg VALID, di poling survey TVONE, capres ANIS UNGGUL,...TERUSS",0
2023-05-06T12:54:46Z,jejak tikus,Ini yang ditayangkan selalu survey 3 pasang calon. Yg head to head ditampilkan belakangan😂😂,0
2023-05-06T12:44:42Z,Heri Alfaridzi,Palsu,0
2023-05-06T12:44:38Z,Gulo Sona,"Yang penting bukan Anus, eh anis..🤪🤪",0
2023-05-06T12:41:11Z,Zulkarnain Kaur,Semoga PDIP dan partai koalisinya serta Pak Jokowi semakin inten utk mengampanyekan Ganjar sbg capres !,0
2023-05-06T12:39:49Z,Sofyan Wijaya,Survei Survei Bullshit,0
2023-05-06T12:35:13Z,Amirudin Saleh,Saya yakin pak prabowo presiden di 2024.amin,0
2023-05-06T12:33:44Z,Ahmad Faizin,"Lembaga survei ini semua gentayangan, seolah olah yg di survei itu benar..!",0
2023-05-06T12:31:58Z,Dudi Darmayon,Survei  abal abal... Haram,0
2023-05-06T12:30:43Z,Dudi Darmayon,Nyatanya  Ganjar  nyungsep,0
2023-05-06T12:30:39Z,Fudin Nisa,"Tidak percaya,",0
2023-05-06T12:30:27Z,Nday 17,😂😂😂😂,0
2023-05-06T12:22:28Z,Muhamad Ayra,"Ya elah rakyat udah pinter bro mana emas, mana perak",0
2023-05-06T12:19:59Z,Muhamad Ayra,Preeetttttt,0
2023-05-06T12:19:18Z,Muhamad Ayra,"KOMPAS TV, BTV GITU LOH. CUMA NANYA SIAPA YG DISURVEY",0
2023-05-06T12:12:18Z,Nur Wati,Abal-abal 😅😅😅😅😅,0
2023-05-06T11:58:31Z,Ardi Aja,Ogah milih calon yg suka nonton barang haranm,1
2023-05-06T11:57:39Z,Ardi Aja,"Kenapa ya ganjar suka nonton bokef,  padahal dlm islam haram",1
2023-05-06T11:55:23Z,Mamad,Coba kalau kalian berani langsung polling terbuka.. 😅,0
2023-05-06T11:52:22Z,heden jaya,"Pak ganjar sy dukung di pasangkan sama pak ahok,pasti gol mimpin indonesia❤",0
2023-05-07T13:53:00Z,Dwiky Darmawan,Ganjar pranowo Andika Perkasa,0
2023-05-06T11:47:31Z,Riad Sidik,Pikada dki terulang lagi survei survei bermunculan keyataan pakta sama realita jauh tau tau yg buncit yg bisa menang,0
2023-05-06T11:45:49Z,Iwan Apriliyanto,KETURUNAN YAMAN BERBAHAYA UNTUK NKRI...,1
2023-05-06T11:44:12Z,Okezone RO,Yang cerdas pasti dukung pak ganjar,1
2023-05-06T11:43:56Z,Riza Aspahani,Hari gini masih ada yg percaya Lembaga Survey 😅😅😅😅😅<br><br>Lucuuuuu....😅😅😅😅,0
2023-05-06T11:39:38Z,saran pribadi,Lebih baik percaya sama tukang sulap dari pada tukang survei,0
2023-05-06T11:37:59Z,sunnyxx_cutie,Semoga terus meroket pak Ganjar,0
2023-05-06T11:31:49Z,Next Time Bro,Cuma Di Indonesia Presiden Menang Sebelum Di Coblos😂,0
2023-05-06T11:29:09Z,Dafa Dafa,Surve apa an ini rakyat yg milih bukan partai hidup Prabowo,0
2023-05-06T11:24:45Z,ashary ghina,Ganjar pranowo gaspol,0
2023-05-06T11:20:36Z,fajar gunawan,Prabowo Presiden 🇮🇩,0
